sn84020616,albuquerque-citizen,Albuquerque Citizen,"Albuquerque, N.M."
sn84020613,albuquerque-daily-citizen,Albuquerque Daily Citizen,"Albuquerque, N.M."
sn84020615,albuquerque-evening-citizen,Albuquerque Evening Citizen,"Albuquerque, N.M."
sn92070581,albuquerque-evening-herald,Albuquerque Evening Herald,"Albuquerque, N.M."
sn84031081,albuquerque-morning-journal,Albuquerque Morning Journal,"Albuquerque, N.M."
sn92070464,albuquerque-weekly-citizen,Albuquerque Weekly Citizen,"Albuquerque, N.M."
sn92070566,alamogordo-news,Alamogordo News,"Alamogordo, N.M."
sn92070564,alamogordo-news-advertiser,Alamogordo News-Advertiser,"Alamogordo, N.M."
sn92070450,belen-news,Belen News,"Belen, N.M."
sn87090373,black-range,Black Range,"Robinson, N.M."
sn86083435,borderer,Borderer,"Las Cruces, N.M."
sn93061429,carlsbad-current,Carlsbad Current,"Carlsbad, N.M."
sn93061428,carlsbad-current,Carlsbad Current,"Carlsbad, N.M."
sn93061430,carlsbad-current-nm-sun,Carlsbad Current and New Mexico Sun,"Carlsbad, N.M."
sn86063539,carrizozo-news,Carrizozo News,"Carrizozo, N.M."
sn94056939,carrizozo-outlook,Carrizozo Outlook,"Carrizozo, N.M."
sn93061818,catron-county-news,Catron County News,"Reserve, N.M."
sn92070454,socorro-chieftain,Chieftain,"Socorro, N.M."
sn92070542,cimarron-citizen,Cimarron Citizen,"Cimarron, N.M."
sn92070544,cimarron-news-citizen,Cimarron News and Citizen,"Cimarron, N.M."
sn92070543,cimarron-news-press,Cimarron News and Press,"Cimarron, N.M."
sn93061569,clayton-citizen,Clayton Citizen,"Clayton, N.M."
sn94056928,clayton-enterprise,Clayton Enterprise,"Clayton, N.M."
sn93061573,clayton-news,Clayton News,"Clayton, N.M."
sn93061777,clovis-news,Clovis News,"Clovis, N.M."
sn92070539,columbus-courier,Columbus Courier,"Columbus, N.M."
sn92072379,cuervo-clipper,Cuervo Clipper,"Cuervo, N.M."
sn86063579,deming-graphic,Deming Graphic,"Deming, N.M."
sn83004264,deming-headlight,Deming Headlight,"Deming, N.M."
sn93061403,dawson-news,Dawson News,"Dawson, N.M."
sn92070477,silver-city-eagle,Eagle,"Silver City, N.M."
sn93061674,eddy-current,Eddy Current,"Carlsbad, N.M."
sn87090070,capitan-farol,El Farol,"Capitan, N.M."
sn92070404,belen-hispano-americano,El Hispano Americano,"Roy, N.M."
sn93061379,belen-hispano-americano,El Hispano-Americano,"Belen, N.M."
sn94056852,las-vegas-el-independiente,El Independiente,"Las Vegas, N.M."
sn94056869,nuevo-mexicano,El Nuevo Mexicano,"Santa Fe, N.M."
sn93061466,estancia-news,Estancia News,"Estancia, N.M."
sn94057017,estancia-news-herald,Estancia News-Herald,"Estancia, N.M."
sn93061433,evening-current,Evening Current,"Carlsbad, N.M."
sn92070582,evening-herald,Evening Herald,"Albuquerque, N.M."
sn94056832,fort-sumner-review,Fort Sumner Review,"Las Vegas, N.M."
sn86063589,gallup-herald,Gallup Herald,"Gallup, N.M."
sn92070445,lincoln-golden-era,Golden Era,"Lincoln, N.M."
sn93061371,kenna-record,Kenna Record,"Kenna, N.M."
sn83045030,bandera-americana,La Bandera Americana,"Albuquerque, N.M."
sn83045398,revista-de-taos,La Revista de Taos,"Taos, N.M."
sn93061743,taos-revista-cresset,La Revista de Taos and the Taos Cresset,"Taos, N.M."
sn94056834,taos-revista-news,La Revista de Taos and the Taos Valley News,"Taos, N.M."
sn83045436,voz-del-pueblo,La Voz del Pueblo,"Santa Fe, N.M."
sn93061467,nuevas-estancia,Las Nuevas de la Estancia,"Estancia, N.M."
sn90051703,las-vegas-daily-gazette,Las Vegas Daily Gazette,"Las Vegas, N.M."
sn86063592,las-vegas-daily-optic,Las Vegas Daily Optic,"Las Vegas, N.M."
sn96061021,las-vegas-free-press,Las Vegas Free Press,"Las Vegas, N.M."
sn84027457,las-vegas-gazette,Las Vegas Gazette,"Las Vegas, N.M."
sn93061633,las-vegas-gazette,The Las Vegas Gazette,"Las Vegas, N.M."
sn93061631,las-vegas-morning-gazette,Las Vegas Morning Gazette,"Las Vegas, N.M."
sn92070417,las-vegas-optic,Las Vegas Optic,"Las Vegas, N.M."
sn92070422,las-vegas-stock-grower,Las Vegas Weekly Optic and Stock Grower,"Las Vegas, N.M."
sn87090072,lincoln-county-leader,Lincoln County Leader,"White Oaks, N.M."
sn91052379,cerrillos-rustler,Los Cerrillos Rustler,"Cerrillos, N.M."
sn94005878,lovington-leader,Lovington Leader,"Lovington, N.M."
sn84027433,mesilla-times,Mesilla Times,"Mesilla, N.M."
sn87090075,mesilla-valley-independent,Mesilla Valley Independent,"Mesilla, N.M."
sn93061497,mesilla-weekly-times,Mesilla Weekly Times,"Mesilla, N.M."
sn84020617,morning-journal,Morning Journal,"Albuquerque, N.M."
sn92070567,morning-news,Morning News,"Estancia, N.M."
sn93061704,mountainair-independent,Mountainair Independent,"Mountainair, N.M."
sn84024881,nm-review,New Mexican Review,"Santa Fe, N.M."
sn93061701,nm-state-record,New Mexico State Record,"Santa Fe, N.M."
sn930617407,old-abe-eagle,Old Abe Eagle,"White Oaks, N.M."
sn93061752,raton-comet,Raton Comet,"Raton, N.M."
sn91052387,raton-daily-independent,Raton Daily Independent,"Raton, N.M."
sn91052388,raton-weekly-independent,Raton Weekly Independent,"Raton, N.M."
sn92070553,red-river-prospector,Red River Prospector,"Red River, N.M."
sn93061795,reserve-advocate,Reserve Advocate,"Reserve, N.M."
sn87090080,rio-grande-republican,Rio Grande Republican,"Las Cruces, N.M."
sn86063823,roswell-daily-record,Roswell Daily Record,"Roswell, N.M."
sn92072386,cerrillos-the-rustler,Rustler,"Cerrillos, N.M."
sn93061544,san-jon-sentinel,San Jon Sentinel,"San Jon, N.M."
sn92070446,san-juan-county-index,San Juan County Index,"Aztec, N.M."
sn86063590,san-juan-times,San Juan Times,"Farmington, N.M."
sn84020631,daily-new-mexican,Santa Fe Daily New Mexican,"Santa Fe, N.M."
sn88071076,santa-fe-gazette,Santa Fe Gazette,"Santa Fe, N.M."
sn88071075,santa-fe-weekly-gazette,Santa Fe Weekly Gazette,"Santa Fe, N.M."
sn84022168,santa-fe-weekly-gazette,Santa Fe Weekly Gazette,"Santa Fe, N.M."
sn84022165,santa-fe-weekly-gazette,Santa Fe Weekly Gazette,"Santa Fe, N.M."
sn84020630,santa-fe-new-mexican,Santa Fe New Mexican,"Santa Fe, N.M."
sn84020626,santa-fe-new-mexican-review,Santa Fe New Mexican and Review,"Santa Fe, N.M."
sn94057006,sierra-county-advocate,Sierra County Advocate,"Kingston, N.M."
sn92070455,socorro-chieftain,Socorro Chieftain,"Socorro, N.M."
sn86090503,socorro-chieftain,Socorro Chieftain,"Socorro, N.M."
sn86090456,southwest-sentinel,Southwest-Sentinel,"Silver City, N.M."
sn92061524,spanish-american,Spanish American,"Roy, N.M."
sn94057002,taiban-valley-news,Taiban Valley News,"Taiban, N.M."
sn93061711,tucumcari-news-times,Tucumcari News and Tucumcari Times,"Tucumcari, N.M."
sn93061709,tucumcari-news,Tucumcari News,"Tucumcari, N.M."
sn87067095,weekly-new-mexican-review,Weekly New Mexican Review,"Santa Fe, N.M."
sn87067094,weekly-new-mexican-review-livestock,Weekly New Mexican Review and Live Stock Journal,"Santa Fe, N.M."
sn92070405,lordsburg-western-liberal,Western Liberal,"Lordsburg, N.M."
sn87090065,white-oaks-eagle,White Oaks Eagle,"White Oaks, N.M."
